start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1744005600000,2025-04-07 06:00:00,23.9599643,17.80518358,2001.91339753,2132.43682278
1744009200000,2025-04-07 07:00:00,1.29670149,12.6186052,93.64096776,97.25261185
1744012800000,2025-04-07 08:00:00,15.06833444,14.61905475,1544.71464281,2832.84687549
1744016400000,2025-04-07 09:00:00,3.77672174,11.36713877,173.11668063,173.72920004
1744020000000,2025-04-07 10:00:00,28.42350932,14.94959101,966.02299571,966.39931696
1744023600000,2025-04-07 11:00:00,29.38856301,16.18879102,1830.49679564,2057.19941038
1744027200000,2025-04-07 12:00:00,8.66039289,15.79631246,548.27849065,554.2651448
1744030800000,2025-04-07 13:00:00,1.41979702,12.57628856,150.97458265,159.0172657
1744034400000,2025-04-07 14:00:00,1.63549621,12.6246878,100.58357282,101.40076501
1744038000000,2025-04-07 15:00:00,20.29260015,13.37101148,1378.42063079,1582.82281132
1744041600000,2025-04-07 16:00:00,2.87014152,13.24150002,91.73800193,91.84452867
1744045200000,2025-04-07 17:00:00,0.03266972,9.18566579,0.93894095,1.01276125
1744048800000,2025-04-07 18:00:00,16.08523153,7.28518986,1270.54180659,1351.1594485
1744052400000,2025-04-07 19:00:00,1.30492201,6.23440831,69.02905933,69.16086644
1744056000000,2025-04-07 20:00:00,17.55912167,8.54002612,936.09662861,1088.66554328
1744059600000,2025-04-07 21:00:00,0.43124771,8.36799062,22.22113398,22.42488087
1744063200000,2025-04-07 22:00:00,13.87058086,7.45055929,499.19267801,499.34091095
1744066800000,2025-04-07 23:00:00,1.75343396,7.29102964,38.56666812,38.57554711
1744070400000,2025-04-08 00:00:00,2.09682822,7.58590942,62.86117331,62.90484645
1744074000000,2025-04-08 01:00:00,1.40791646,5.48915013,26.74366856,26.7504127
1744077600000,2025-04-08 02:00:00,10.61102056,6.81859278,496.28831268,498.71796615
1744081200000,2025-04-08 03:00:00,4.18440358,4.90791876,41.84403575,41.84403575
1744084800000,2025-04-08 04:00:00,5.49020625,5.63062713,137.19443288,137.25515622
1744088400000,2025-04-08 05:00:00,0.06261331,3.65806033,1.59756789,1.69055932
1744092000000,2025-04-08 06:00:00,10.5491881,4.91459664,470.1950065,495.81184082
1744095600000,2025-04-08 07:00:00,2.90308855,5.02977669,130.35774851,130.63898459
1744099200000,2025-04-08 08:00:00,0.20453697,4.85786533,13.6707531,15.74934633
1744102800000,2025-04-08 09:00:00,23.34555496,6.67708453,1702.60173789,1704.22551239
1744106400000,2025-04-08 10:00:00,23.34730902,9.41464245,1213.58510705,1237.40737814
1744110000000,2025-04-08 11:00:00,4.53272568,9.27785951,54.38975176,54.39270816
1744113600000,2025-04-08 12:00:00,8.86747765,10.53569728,416.53736231,416.77144976
1744117200000,2025-04-08 13:00:00,0.01803448,9.03124676,0.70587911,0.86565516
1744120800000,2025-04-08 14:00:00,1.57704887,8.84181252,37.77317487,37.84917283
1744124400000,2025-04-08 15:00:00,6.5961462,9.75489955,538.78864177,540.88398827
1744128000000,2025-04-08 16:00:00,7.4682003,7.48670603,463.64594632,477.96481949
1744131600000,2025-04-08 17:00:00,0.79207995,4.26453045,27.6560513,27.7227984
1744135200000,2025-04-08 18:00:00,15.94723082,5.89517404,633.66215883,637.88923281
1744138800000,2025-04-08 19:00:00,6.46068455,5.55134645,180.8239054,180.89916737
1744142400000,2025-04-08 20:00:00,39.15591472,11.1424722,1894.3271492,1957.79573611
1744146000000,2025-04-08 21:00:00,1.44425129,11.12350112,49.05742855,49.10454392
1744149600000,2025-04-08 22:00:00,38.61132751,15.69709845,1578.38512282,1583.06442785
1744153200000,2025-04-08 23:00:00,0.02040411,14.63312756,0.50999092,0.53050673
1744156800000,2025-04-09 00:00:00,4.20012492,15.11999113,50.40122336,50.40149905
1744160400000,2025-04-09 01:00:00,19.62715065,15.64569396,666.98917979,667.32312219
1744164000000,2025-04-09 02:00:00,4.28960506,15.33553975,42.8960506,42.8960506
1744167600000,2025-04-09 03:00:00,12.43997252,11.51897658,620.42483909,621.99862617
1744171200000,2025-04-09 04:00:00,7.05364081,12.32031794,625.37709075,698.31044045
1744174800000,2025-04-09 05:00:00,4.48197453,7.44469609,165.22618048,165.83305771
