start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1744005600000,2025-04-07 06:00:00,19.9557036,14.71071629,871.61236735,1117.51940138
1744009200000,2025-04-07 07:00:00,18.03917761,15.88515865,358.93814788,396.8619075
1744012800000,2025-04-07 08:00:00,9.53299131,14.27478123,1394.6419886,1506.21262663
1744016400000,2025-04-07 09:00:00,16.50229293,13.41259523,513.69203107,627.08713126
1744020000000,2025-04-07 10:00:00,27.85385427,16.66991675,614.68006976,640.6386481
1744023600000,2025-04-07 11:00:00,16.83524198,17.81432758,586.90696006,723.9154051
1744027200000,2025-04-07 12:00:00,15.22740051,17.70666603,457.48749064,532.9590177
1744030800000,2025-04-07 13:00:00,4.49621299,15.49816737,539.42904975,597.99632782
1744034400000,2025-04-07 14:00:00,25.94809891,16.62801327,703.2388626,856.28726402
1744038000000,2025-04-07 15:00:00,16.6377255,17.6429753,499.1637105,598.95811808
1744041600000,2025-04-07 16:00:00,13.39910525,17.19966277,185.96397716,187.58747344
1744045200000,2025-04-07 17:00:00,10.0072207,14.65014369,423.40107049,470.33937311
1744048800000,2025-04-07 18:00:00,4.87142211,12.94102657,142.91492263,155.88550762
1744052400000,2025-04-07 19:00:00,7.33160473,11.81305574,255.86215801,271.26937504
1744056000000,2025-04-07 20:00:00,3.92639213,11.73165276,88.50655311,94.2334111
1744059600000,2025-04-07 21:00:00,2.90375176,8.43960317,112.87392647,119.05382209
1744063200000,2025-04-07 22:00:00,2.74851842,6.45543073,85.48295858,93.44962617
1744066800000,2025-04-07 23:00:00,5.65542885,5.34919124,105.22568658,107.45314823
1744070400000,2025-04-08 00:00:00,7.25771254,4.95640436,222.71013487,333.8547767
1744074000000,2025-04-08 01:00:00,6.89713292,5.24579162,180.65232263,206.91398763
1744077600000,2025-04-08 02:00:00,10.54107148,5.70428687,306.54748821,316.23214446
1744081200000,2025-04-08 03:00:00,19.88746583,7.98444026,434.5575235,437.52424831
1744084800000,2025-04-08 04:00:00,6.78418234,8.53878748,246.80389411,291.71984082
1744088400000,2025-04-08 05:00:00,9.08906279,9.44457954,305.67969946,327.20626038
1744092000000,2025-04-08 06:00:00,5.96064575,9.48818195,153.05654459,166.89808106
