start_time,date,exchange_whale_ratio
1735603200000,2024-12-31,0.43540976
1735689600000,2025-01-01,0.60809007
1735776000000,2025-01-02,0.46204115
1735862400000,2025-01-03,0.44166502
1735948800000,2025-01-04,0.42575467
1736035200000,2025-01-05,0.54185072
1736121600000,2025-01-06,0.35034963
1736208000000,2025-01-07,0.45356641
1736294400000,2025-01-08,0.43099323
1736380800000,2025-01-09,0.44704756
1736467200000,2025-01-10,0.51416889
1736553600000,2025-01-11,0.54550707
1736640000000,2025-01-12,0.75645363
1736726400000,2025-01-13,0.39105165
1736812800000,2025-01-14,0.38373104
1736899200000,2025-01-15,0.37358343
1736985600000,2025-01-16,0.40282691
1737072000000,2025-01-17,0.28684661
1737158400000,2025-01-18,0.35381286
1737244800000,2025-01-19,0.32398674
1737331200000,2025-01-20,0.29613101
1737417600000,2025-01-21,0.40496156
1737504000000,2025-01-22,0.41021692
1737590400000,2025-01-23,0.39565832
1737676800000,2025-01-24,0.42709756
1737763200000,2025-01-25,0.55322507
1737849600000,2025-01-26,0.45611909
1737936000000,2025-01-27,0.33045556
1738022400000,2025-01-28,0.39614845
1738108800000,2025-01-29,0.39291468
1738195200000,2025-01-30,0.34898584
1738281600000,2025-01-31,0.51529872
1738368000000,2025-02-01,0.60827025
1738454400000,2025-02-02,0.42436294
1738540800000,2025-02-03,0.28569553
1738627200000,2025-02-04,0.43993622
1738713600000,2025-02-05,0.46703209
1738800000000,2025-02-06,0.55682448
1738886400000,2025-02-07,0.41818582
1738972800000,2025-02-08,0.53678636
1739059200000,2025-02-09,0.47579302
1739145600000,2025-02-10,0.52825192
1739232000000,2025-02-11,0.41845738
1739318400000,2025-02-12,0.44043792
1739404800000,2025-02-13,0.5068614
1739491200000,2025-02-14,0.46901743
1739577600000,2025-02-15,0.50759851
1739664000000,2025-02-16,0.62058026
1739750400000,2025-02-17,0.54403933
1739836800000,2025-02-18,0.49087542
1739923200000,2025-02-19,0.46265236
1740009600000,2025-02-20,0.40713635
1740096000000,2025-02-21,0.44591141
1740182400000,2025-02-22,0.37501742
1740268800000,2025-02-23,0.56597002
1740355200000,2025-02-24,0.45747462
1740441600000,2025-02-25,0.25234501
1740528000000,2025-02-26,0.46372035
1740614400000,2025-02-27,0.32991466
1740700800000,2025-02-28,0.22422937
1740787200000,2025-03-01,0.40213068
1740873600000,2025-03-02,0.47595127
1740960000000,2025-03-03,0.46425352
1741046400000,2025-03-04,0.31167614
1741132800000,2025-03-05,0.28790546
1741219200000,2025-03-06,0.36878955
1741305600000,2025-03-07,0.36049444
1741392000000,2025-03-08,0.57641604
1741478400000,2025-03-09,0.3071578
1741564800000,2025-03-10,0.37512775
1741651200000,2025-03-11,0.33394885
1741737600000,2025-03-12,0.35284616
1741824000000,2025-03-13,0.50446324
1741910400000,2025-03-14,0.38370442
1741996800000,2025-03-15,0.33470851
1742083200000,2025-03-16,0.43790018
1742169600000,2025-03-17,0.4370182
1742256000000,2025-03-18,0.38690256
1742342400000,2025-03-19,0.37714817
1742428800000,2025-03-20,0.53158003
1742515200000,2025-03-21,0.4684471
1742601600000,2025-03-22,0.55656734
1742688000000,2025-03-23,0.48832314
1742774400000,2025-03-24,0.36373255
1742860800000,2025-03-25,0.57237346
1742947200000,2025-03-26,0.57557433
1743033600000,2025-03-27,0.32259953
1743120000000,2025-03-28,0.5197585
1743206400000,2025-03-29,0.33481736
1743292800000,2025-03-30,0.45814716
1743379200000,2025-03-31,0.40869284
1743465600000,2025-04-01,0.39951799
1743552000000,2025-04-02,0.24653258
1743638400000,2025-04-03,0.46331055
1743724800000,2025-04-04,0.41282132
1743811200000,2025-04-05,0.46420217
1743897600000,2025-04-06,0.49176404
1743984000000,2025-04-07,0.39957507
1744070400000,2025-04-08,0.5275558
1744156800000,2025-04-09,0.34840766
