start_time,date,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1735603200000,2024-12-31,4.89240752,4.45560275,2848.08006749,6541.14884939
1735689600000,2025-01-01,6.23548231,4.79382791,5027.84047455,8268.24953913
1735776000000,2025-01-02,4.23939976,4.85181368,2857.85585454,6185.28424456
1735862400000,2025-01-03,4.00439659,4.55504124,2711.26672239,6138.73997609
1735948800000,2025-01-04,2.14564035,4.48998925,1263.39319395,2967.42061086
1736035200000,2025-01-05,2.27198517,4.43189427,1398.50325014,2580.97515837
1736121600000,2025-01-06,3.96543653,3.96496403,2363.18093252,6745.2075406
1736208000000,2025-01-07,3.77599813,3.80547698,3194.12194337,7042.2365108
1736294400000,2025-01-08,4.44065165,3.5490726,3006.72241398,6976.2637486
1736380800000,2025-01-09,4.89529029,3.64277124,3269.51076756,7313.56368699
1736467200000,2025-01-10,4.87837213,3.76762489,3787.5438694,7366.34191324
1736553600000,2025-01-11,2.00219247,3.74713234,1334.68079272,2446.67920291
1736640000000,2025-01-12,3.54387977,3.92883157,3112.38643518,4114.4444187
1736726400000,2025-01-13,5.08128816,4.08823894,2960.69871111,7571.11935329
1736812800000,2025-01-14,3.94188401,4.11193693,2305.23782615,6007.43122939
1736899200000,2025-01-15,4.22970822,4.08180215,2608.82584168,6983.24826946
1736985600000,2025-01-16,5.18363759,4.12299462,3363.94311078,8350.84015337
1737072000000,2025-01-17,5.76875992,4.25019288,3273.09395599,11410.60711811
1737158400000,2025-01-18,4.25389232,4.57186428,2609.81184413,7376.24928994
1737244800000,2025-01-19,2.98459608,4.49196661,3064.3264996,9458.18496879
1737331200000,2025-01-20,4.99205703,4.47921931,4462.99636773,15071.02016588
1737417600000,2025-01-21,5.34965582,4.68032957,4482.29183485,11068.43789683
1737504000000,2025-01-22,5.10489622,4.80535643,3610.25395477,8800.84108492
1737590400000,2025-01-23,4.73425352,4.7411587,3431.60495608,8673.15244271
1737676800000,2025-01-24,4.70230622,4.58880817,3450.33418447,8078.56208492
1737763200000,2025-01-25,3.26605901,4.44768913,2580.20423179,4663.93226674
1737849600000,2025-01-26,2.2410804,4.3414726,1319.6596358,2893.2347959
1737936000000,2025-01-27,7.54851549,4.70668095,3779.09015022,11436.00097413
1738022400000,2025-01-28,4.75252257,4.6213762,2601.89756561,6567.9861929
1738108800000,2025-01-29,4.74740697,4.57030631,2631.9748409,6698.59122922
1738195200000,2025-01-30,5.21534031,4.639033,2662.77695434,7630.04287499
1738281600000,2025-01-31,4.98859481,4.67993137,3858.49542484,7487.88080396
