start_time,date,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1735603200000,2024-12-31,7.00553749,5.4313892,2273.02440685,7811.17429961
1735689600000,2025-01-01,5.05244329,5.62604407,2257.79598391,5416.21920905
1735776000000,2025-01-02,6.88503767,5.92473488,2074.98881394,8034.83896469
1735862400000,2025-01-03,8.68699259,6.25729653,2119.52031675,8495.87875574
1735948800000,2025-01-04,2.95459343,6.06622803,1192.63420363,3066.86797836
1736035200000,2025-01-05,2.56080943,5.76392366,1073.81451519,2704.21475506
1736121600000,2025-01-06,10.09200857,6.17677464,3962.55655073,11333.32562814
1736208000000,2025-01-07,7.26402528,6.21370147,2467.61020246,8070.33208815
1736294400000,2025-01-08,6.55396991,6.42820527,2080.77441978,6370.45875168
1736380800000,2025-01-09,6.86135901,6.4248226,1825.55831897,7650.41530132
1736467200000,2025-01-10,7.4294591,6.24517496,1444.06406044,6991.12101163
1736553600000,2025-01-11,3.17328757,6.27641698,880.66269336,2411.69855674
1736640000000,2025-01-12,2.85002253,6.31773314,799.89648661,2188.81730214
1736726400000,2025-01-13,10.19040561,6.33178986,1334.99496652,7866.99313006
1736812800000,2025-01-14,10.05356743,6.73029588,1398.30650737,7670.87194816
1736899200000,2025-01-15,7.3512467,6.84419256,1851.72675464,9159.65338524
1736985600000,2025-01-16,6.69591928,6.82055832,1671.53621508,8215.89295253
1737072000000,2025-01-17,13.56864428,7.69758477,3723.39479115,15129.03837077
1737158400000,2025-01-18,5.58369792,8.04192911,1357.56056439,6281.66016287
1737244800000,2025-01-19,6.11664346,8.50858924,1611.10128711,7021.9066865
1737331200000,2025-01-20,13.09756637,8.92389792,2058.87095842,14184.66438271
1737417600000,2025-01-21,10.38709705,8.97154501,2880.98371171,12454.12936281
1737504000000,2025-01-22,7.74063649,9.02717212,2541.2122156,8901.73196611
1737590400000,2025-01-23,9.56298301,9.43675265,2335.06322707,10739.22992361
